,sent,category,plant,genus,species,plant_group,category_int
8528,It has been found only in the Chisos Mountains inside Big Bend National Park in western Texas.,Summary,,Quercus,robusta,,17
8529,Quercus robusta is a deciduous tree growing up to 13 metres (43 feet) tall.,Summary,,Quercus,robusta,,17
8530,"The bark is black or brown, the twigs dark reddish brown.",Summary,,Quercus,robusta,,17
8531,"The leaves are up to 12 centimetres (4+3⁄4 inches) long, with a few teeth or small lobes along the edges.",Summary,,Quercus,robusta,,17
8532,"The tree grows in moist, wooded canyons.

",Summary,,Quercus,robusta,,17
8533,Quercus rubra has effective ectomycorrhizal relationships that have been correlated with increased growth rates.,Threats,,Quercus,rubra,,19
8534,Northern red oak trees have been shown to increase growth in the presence of various ascomycetes that coil at the base of the oak trunk.,Threats,,Quercus,rubra,,19
8535,"The fungi, which eventually proliferate at the stumps of deciduous trees, have been found to be host-specific to both Quercus rubra and Quercus montana and primarily promote growth upon infection.",Threats,,Quercus,rubra,,19
8536,Quercus rubra is grown in parks and large gardens as a specimen tree.,Special Uses,,Quercus,rubra,,16
8537,"It is not planted as often as the closely related pin oak as it develops a taproot and quickly becomes difficult to transplant, however modern growing pots have made starting seedlings with taproots easier than in the past.",Special Uses,,Quercus,rubra,,16
8538,"Quercus rubra, the northern red oak, is an oak tree in the red oak group (Quercus section Lobatae).",Summary,,Quercus,rubra,,17
8539,"It is a native of North America, in the eastern and central United States and southeast and south-central Canada.",Summary,,Quercus,rubra,,17
8540,"It has been introduced to small areas in Western Europe, where it can frequently be seen cultivated in gardens and parks.",Summary,,Quercus,rubra,,17
8541,It prefers good soil that is slightly acidic.,Summary,,Quercus,rubra,,17
8542,"Often simply called red oak, northern red oak is so named to distinguish it from southern red oak (Q. falcata), also known as the Spanish oak.",Summary,,Quercus,rubra,,17
8543,"Northern Red Oak is sometimes called champion oak.

",Summary,,Quercus,rubra,,17
8544,Quercus rugosa is an evergreen shrub or tree.,Description,,Quercus,rugosa,,5
8545,The bark is brown and scaly.,Description,,Quercus,rugosa,,5
8546,"The leaves are thick and leathery, rarely flat, usually cupped, up to 15 centimetres (6 inches) long, dark green on the top but covered with a thick of reddish-brown hairs on the underside.",Description,,Quercus,rugosa,,5
8547,The young leaves are also very hairy and usually red or yellow.,Description,,Quercus,rugosa,,5
8548,"Quercus rugosa, commonly known as the netleaf oak, is a broad-leaved tree in the beech and oak family Fagaceae.",Summary,,Quercus,rugosa,,17
8549,"It is native to southern North America.

",Summary,,Quercus,rugosa,,17
8550,"Quercus shumardii, the Shumard oak, spotted oak, Schneck oak, Shumard red oak, or swamp red oak, is one of the largest of the oak species in the red oak group (Quercus section Lobatae).",Summary,,Quercus,shumardii,,17
8551,"It is closely related to Quercus buckleyi (Texas red oak), Quercus texana (Nuttall's red oak), and Quercus gravesii (Chisos red oak).",Summary,,Quercus,shumardii,,17
8552,"Quercus similis, the swamp post oak or bottomland post oak, is an oak species native to the southeastern and south-central United States.",Summary,,Quercus,similis,,17
8553,"The greatest concentration of populations is in Louisiana and Arkansas, Mississippi, and eastern Texas, with isolated population in Missouri, Alabama, and the Coastal Plain of Georgia and South Carolina.",Summary,,Quercus,similis,,17
8554,Quercus similis is a deciduous tree up to 25 meters (82 feet) tall.,Summary,,Quercus,similis,,17
8555,It has a straight trunk.,Summary,,Quercus,similis,,17
8556,The bark is brown and flaky.,Summary,,Quercus,similis,,17
8557,"The branches are gray, and between 2 and 3 millimeters (1⁄16 and 1⁄8 inch) in diameter.",Summary,,Quercus,similis,,17
8558,"The leaves are between 8 to 12 centimeters (3 to 4+1⁄2 in) long and 5 to 8 cm (2 to 3 in) wide, more or less closely egg-shaped.",Summary,,Quercus,similis,,17
8559,"The apex is acute or rounded, base shortly indicated.",Summary,,Quercus,similis,,17
8560,"The leaf margins are flat with two or three pairs of shallow lobes apical half, shiny dark green on top but gray underneath between 3 and 5 pairs of veins.",Summary,,Quercus,similis,,17
8561,The petiole is between 3 and 10 mm long.,Summary,,Quercus,similis,,17
8562,The flowers appear in spring.,Summary,,Quercus,similis,,17
8563,"The acorns are between 1.2 to 1.6 cm (1⁄2 to 5⁄8 in) long, oblong, and dark brown.",Summary,,Quercus,similis,,17
8564,"It produces acorns one at a time or in groups of three.

",Summary,,Quercus,similis,,17
8565,Quercus sinuata is a deciduous tree up to 20 metres (67 feet) tall.,Description,,Quercus,sinuata,,5
8566,"Leaves are narrow, with shallow rounded lobes.",Description,,Quercus,sinuata,,5
8567,"It tends to grow in wet habitats, such as on river bluffs, river bottoms, and flatwoods, and generally over basic substrates, such as mafic rocks, shells, or calcareous sediment.",Description,,Quercus,sinuata,,5
8568,"There are two varieties, with morphologically intermediate forms sometimes occurring where their ranges overlap:
Quercus sinuata var.",Description,,Quercus,sinuata,,5
8569,breviloba (Torr.),Description,,Quercus,sinuata,,5
8570,"C.H.Mull. – Texas, Oklahoma, Mexico
Quercus sinuata var.",Description,,Quercus,sinuata,,5
8571,"sinuata – Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, Carolinas, Texas",Description,,Quercus,sinuata,,5
8572,"Quercus sinuata is a species of oak comprising two distinct varieties, Quercus sinuata var.",Summary,,Quercus,sinuata,,17
8573,breviloba and Quercus sinuata var.,Summary,,Quercus,sinuata,,17
8574,"sinuata, occurring in southeast North America.

",Summary,,Quercus,sinuata,,17
8575,Quercus sinuata var.,Ecology,,Quercus,sinuata var. breviloba,,6
8576,breviloba hybridizes with Quercus stellata to yield Quercus × macnabiana nothovar.,Ecology,,Quercus,sinuata var. breviloba,,6
8577,"mahonii (E.J. Palmer) Govaerts (1998).Apart from thicker acorn cups, longer nuts and smaller leaves, Quercus sinuata var.",Ecology,,Quercus,sinuata var. breviloba,,6
8578,breviloba is further differentiated from var.,Ecology,,Quercus,sinuata var. breviloba,,6
8579,sinuata by its clonal habit.,Ecology,,Quercus,sinuata var. breviloba,,6
8580,"Although some individuals develop in tree-form, other individuals of Quercus sinuata var.",Ecology,,Quercus,sinuata var. breviloba,,6
8581,breviloba grow as clonal colonies.,Ecology,,Quercus,sinuata var. breviloba,,6
8582,Clonal colonies of Quecus sinuata var.,Ecology,,Quercus,sinuata var. breviloba,,6
8583,breviloba are believed to be more likely to occur where soils are light or roots have been disturbed.,Ecology,,Quercus,sinuata var. breviloba,,6
8584,A clonal colony of var.,Ecology,,Quercus,sinuata var. breviloba,,6
8585,breviloba originates from a single zygote that matures into a viable acorn.,Ecology,,Quercus,sinuata var. breviloba,,6
8586,"Following germination, the free-living individual plant grows vegetatively by the production of ramets.",Ecology,,Quercus,sinuata var. breviloba,,6
8587,A clonal colony or genet of Quercus sinuata var.,Ecology,,Quercus,sinuata var. breviloba,,6
8588,breviloba appears as thickets of ramets that may grow as high as five meters from a single extensive underground root system.,Ecology,,Quercus,sinuata var. breviloba,,6
8589,"The clustered stems of a clonal individual may cover large geographical expanses, creating the appearance of many individual small trees or shrubs.",Ecology,,Quercus,sinuata var. breviloba,,6
8590,The genetic uniformity of the ramets identifies the colony as a singular genetic individual.,Ecology,,Quercus,sinuata var. breviloba,,6
8591,"Fragmentation may result in parts of the colony becoming geographically isolated from the main colony, but these fragments do not create new genets.",Ecology,,Quercus,sinuata var. breviloba,,6
8592,They remain constituents of the original genet.,Ecology,,Quercus,sinuata var. breviloba,,6
8593,"Consequently, a clonal individual of var.",Ecology,,Quercus,sinuata var. breviloba,,6
8594,breviloba may exist in more than one place.,Ecology,,Quercus,sinuata var. breviloba,,6
8595,Quercus sinuata var.,Habitat,,Quercus,sinuata,,8
8596,"breviloba is native to central and north central Texas, south central and southwest Oklahoma, and to Coahuila, Nuevo León, and Tamaulipas in northern Mexico.",Habitat,,Quercus,sinuata,,8
8597,Quercus sinuata var.,Habitat,,Quercus,sinuata,,8
8598,sinuata is native to the south-central and southeastern United States from central Texas and southwestern Arkansas to the Carolinas.,Habitat,,Quercus,sinuata,,8
8599,"Their respective ranges intersect in the Hill Country of central Texas, where streams flowing through dry, brushy limestone hills create a mosaic of wet and well drained habitats.",Habitat,,Quercus,sinuata,,8
8600,Quercus sinuata var.,Summary,,Quercus,sinuata var. breviloba,,17
8601,"breviloba, commonly called Bigelow oak or Bigelow's oak, is a variety of Quercus sinuata, a species of oak tree that grows in parts of the southern United States and northeastern Mexico.",Summary,,Quercus,sinuata var. breviloba,,17
8602,"Common names for this taxon are shallow-lobed oak, white shin oak, scaly-bark oak, limestone Durand oak, and shortlobe oak.",Summary,,Quercus,sinuata var. breviloba,,17
8603,"The less specific common name bastard oak may refer to either of the two varieties of Quercus sinuata, var.",Summary,,Quercus,sinuata var. breviloba,,17
8604,sinuata and var.,Summary,,Quercus,sinuata var. breviloba,,17
8605,breviloba.,Summary,,Quercus,sinuata var. breviloba,,17
8606,"Other common names include scrub oak or shin oak, but these names may refer to a number of other low growing, clump forming oak species, subspecies or varieties.",Summary,,Quercus,sinuata var. breviloba,,17
8607,"For clear differentiation in common reference, American Forests uses Durand Oak to mean Quercus sinuata var.",Summary,,Quercus,sinuata var. breviloba,,17
8608,sinuata and Bigelow oak to mean Quercus sinuata var.,Summary,,Quercus,sinuata var. breviloba,,17
8609,"breviloba, a shrubby variety of Quercus sinuata distinguished in part by its habit of forming clonal colonies in parts of its range.

",Summary,,Quercus,sinuata var. breviloba,,17
8610,"Quercus stellata, the post oak or iron oak, is a North American species of oak in the white oak section.",Summary,,Quercus,stellata,,17
8611,"It is a slow-growing oak that lives in dry areas on the edges of fields, tops of ridges also grows in poor soils, and is resistant to rot, fire, and drought.",Summary,,Quercus,stellata,,17
8612,"Interbreeding occurs among white oaks, thus many hybrid species combinations occur.
",Summary,,Quercus,stellata,,17
8613,"The species is native to the eastern and central United States, and found along the east coast from Massachusetts to Florida, and as far inland as Nebraska.",Summary,,Quercus,stellata,,17
8614,"It is identifiable by the rounded cross-like shape formed by the leaf lobes and hairy underside of the leaves.

",Summary,,Quercus,stellata,,17
8615,"Quercus tomentella, the island oak, island live oak, or Channel Island oak, is an oak in the section Protobalanus.",Summary,,Quercus,tomentella,,17
8616,"It is native to six islands: five of the Channel Islands of California and Guadalupe Island, part of Baja California.

",Summary,,Quercus,tomentella,,17
8617,"Quercus turbinella easily hybridizes with other oak species, including Quercus gambelii, Q. havardii, Q. arizonica, and Q. grisea.",Ecology,,Quercus,turbinella,,6
8618,"Many species of animals use it for food, with wild and domesticated ungulates browsing the foliage and many birds and mammals eating the acorns.",Ecology,,Quercus,turbinella,,6
8619,"Animals also use the shrub as cover, and mountain lions hide their kills in the thickets.",Ecology,,Quercus,turbinella,,6
8620,"Quercus turbinella has been found in Arizona, New Mexico, Colorado, Utah, Nevada, southern California, and western Texas, as well as Baja California.",Native Range,,Quercus,turbinella,,11
8621,"In California, it occurs in the New York mountains and a few eastern California desert ranges.",Native Range,,Quercus,turbinella,,11
8622,The populations on the desert mountains in the western Mojave desert and the inner coastal ranges are now considered Quercus john-tuckeri.,Native Range,,Quercus,turbinella,,11
8623,"It grows in woodland, chaparral, forest, and other habitat.",Native Range,,Quercus,turbinella,,11
8624,"It is most common in chaparral habitat in central Arizona, through the transition zone of the Mogollon Rim–White Mountains, but also southeast Arizona in the Madrean Sky Island mountain ranges of sky islands.",Native Range,,Quercus,turbinella,,11
8625,"Quercus turbinella is a North American species of oak known by the common names shrub oak, turbinella oak, shrub live oak, and gray oak.",Summary,,Quercus,turbinella,,17
8626,"It is native to Arizona,  California, New Mexico, Utah, Colorado, and Nevada in the western United States.",Summary,,Quercus,turbinella,,17
8627,"It also occurs in northern Mexico.

",Summary,,Quercus,turbinella,,17
8628,Quercus turbinella is a shrub growing 2–5 metres (6+1⁄2–16+1⁄2 feet) in height but sometimes becoming treelike and exceeding 6 m (20 ft).,Description,,Quercus,turbinella,,5
8629,"The branches are gray or brown, the twigs often coated in short woolly fibers when young and becoming scaly with age.",Description,,Quercus,turbinella,,5
8630,"The thick, leathery evergreen leaves are up to 3 centimetres (1+1⁄4 inches) long by 2 cm (3⁄4 in) wide  and are edged with large, spine-tipped teeth.",Description,,Quercus,turbinella,,5
8631,"They are gray-green to yellowish in color and waxy in texture on the upper surfaces, and yellowish and hairy or woolly and glandular on the lower surfaces.",Description,,Quercus,turbinella,,5
8632,"The males catkins are yellowish-green and the female flowers are in short spikes in the leaf axils, appearing at the same time as the new growth of leaves.",Description,,Quercus,turbinella,,5
8633,The fruit is a yellowish brown acorn up to two centimeters long with a shallow warty cup about a centimeter wide.,Description,,Quercus,turbinella,,5
8634,"This oak reproduces sexually via its acorns if there is enough moisture present, but more often it reproduces vegetatively by sprouting from its rhizome and root crown.",Description,,Quercus,turbinella,,5
8635,"Quercus velutina, the black oak, is a species of oak in the red oak group (Quercus sect.",Summary,,Quercus,velutina,,17
8636,"Lobatae), native and widespread in eastern and central North America.",Summary,,Quercus,velutina,,17
8637,It is sometimes called the eastern black oak.,Summary,,Quercus,velutina,,17
8638,Quercus velutina was previously known as yellow oak due to the yellow pigment in its inner bark.,Summary,,Quercus,velutina,,17
8639,It is a close relative of the California black oak (Quercus kelloggii) found in western North America.,Summary,,Quercus,velutina,,17
8640,"Quercus virginiana, also known as the southern live oak, is an evergreen oak tree endemic to the Southeastern United States.",Summary,,Quercus,virginiana,,17
8641,"Though many other species are loosely called live oak, the southern live oak is particularly iconic of the Old South.",Summary,,Quercus,virginiana,,17
8642,Many very large and old specimens of live oak can be found today in the Deep South region of the United States.,Summary,,Quercus,virginiana,,17
8643,"Ranging from 1.5 to as much as 8 meters in height, it can take the form of a shrub or small tree.",Description,,Chilopsis,,,5
8644,"The linear, curved, deciduous leaves are 10 to 26 cm long and just a few millimeters wide.

",Description,,Chilopsis,,,5
8645,"The generic name is derived from the Greek words χεῖλος, (cheilos), meaning ""lip,"" and ὄψις (opsis), meaning ""resembling,"" referring to the flowers.",Description,,Chilopsis,,,5
8646,"They occur in a terminal panicle or raceme, blooming in May through September.",Description,,Chilopsis,,,5
8647,About two to four flowers at a time are open in each inflorescence.,Description,,Chilopsis,,,5
8648,"The calyx is about 8–14 mm, slightly inflated, and varying shades of purple, while the corolla is 2–5 cm, and with colors ranging from lavender to light pink.",Description,,Chilopsis,,,5
8649,"The throat and lower lip has a pattern of yellow ridges and purple lines, and the margins are crinkled.",Description,,Chilopsis,,,5
8650,"It is pollinated primarily by large bees in the family Apidae, such as carpenter bees, bumblebees, Anthophora, and Centris.",Description,,Chilopsis,,,5
8651,"The fruit is a linear pod up to 35 cm long, containing numerous winged seeds.
",Description,,Chilopsis,,,5
8652,"There are two subspecies:

Chilopsis linearis subsp.",Description,,Chilopsis,,,5
8653,linearis.,Description,,Chilopsis,,,5
8654,"Utah, Arizona, New Mexico, western Texas, Mexico.
",Description,,Chilopsis,,,5
8655,Chilopsis linearis subsp.,Description,,Chilopsis,,,5
8656,arcuata.,Description,,Chilopsis,,,5
8657,"Nevada, California, Baja California.",Description,,Chilopsis,,,5
8658,"Rare in the South, it is more common in the northern United States.",Native Range,,Zanthoxylum,americanum,,11
8659,"In the United States, it occurs in Alabama, Arkansas, Connecticut, Delaware, the District of Columbia, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin and West Virginia; the species also occurs in Ontario and Quebec in Canada.",Native Range,,Zanthoxylum,americanum,,11
8660,"The species is listed as Endangered in Florida, Maryland, and New Hampshire; and as Special Concern in Tennessee.",Native Range,,Zanthoxylum,americanum,,11
8661,"Butterflies that use Zanthoxylum americanum as a larval food source include the Thoas swallowtail (Papilio thoas), giant swallowtail (P. cresphontes), and spicebush swallowtail (P. troilus).This plant was known to the indigenous peoples of the region.",Native Range,,Zanthoxylum,americanum,,11
8662,It was first described to Europeans by John Bartram in his travels and plant collecting excursions.,Native Range,,Zanthoxylum,americanum,,11
8663,"Rarely exceeding 20 m in height, the tree has a rounded crown with spreading to pendulous branches.",Description,,Ulmus,serotina,,5
8664,"The glabrous young shoots become progressively corky-winged with age, and bear oblong to obovate leaves <8 cm long.",Description,,Ulmus,serotina,,5
8665,"The wind-pollinated apetalous perfect flowers form pendulous racemes which open in September and serve to distinguish the species from its compatriot, the cedar elm U. crassifolia, with which it readily hybridizes.",Description,,Ulmus,serotina,,5
8666,"The samarae are oblong-elliptical, 10–15 mm in length, deeply divided at the apex, and ripen in November",Description,,Ulmus,serotina,,5
8667,"[2]
[3].",Description,,Ulmus,serotina,,5
8668,Red alder is associated with coast Douglas-fir (Pseudotsuga menziesii subsp.,Associated Forest Cover,,Alnus,rubra,,1
8669,"menziesii), western hemlock (Tsuga heterophylla), grand fir (Abies grandis), western redcedar (Thuja plicata), and Sitka spruce (Picea sitchensis) forests.
",Associated Forest Cover,,Alnus,rubra,,1
8670,"Along stream banks, it is commonly associated with willows (Salix spp.), red osier dogwood (Cornus stolonifera), Oregon ash (Fraxinus latifolia), and bigleaf maple (Acer macrophyllum).
",Associated Forest Cover,,Alnus,rubra,,1
8671,"To the southeast of its range it is replaced by white alder (Alnus rhombifolia), which is a tree of similar stature, but which differs in the leaf margins not being rolled under, lack of distinct lobes, and lack of membranous wings on seed margins.",Associated Forest Cover,,Alnus,rubra,,1
8672,In the high mountains it is replaced by the smaller and more shrub-like Sitka alder (Alnus viridis subsp.,Associated Forest Cover,,Alnus,rubra,,1
8673,"sinuata), and east of the Cascade Mountains by thinleaf alder (Alnus incana subsp.",Associated Forest Cover,,Alnus,rubra,,1
8674,tenuifolia).,Associated Forest Cover,,Alnus,rubra,,1
8675,"Red alder is the largest species of alder in North America and one of the largest in the world, reaching heights of 20 to 30 metres (66 to 98 ft).",Description,,Alnus,rubra,,5
8676,"The official tallest red alder (as of 1979) stands 32 m (105 ft) tall in Clatsop County, Oregon (US).",Description,,Alnus,rubra,,5
8677,The trunks range from 25 to 50 centimetres (10 to 19+1⁄2 in) in diameter.,Description,,Alnus,rubra,,5
8678,"The bark is mottled, ashy-gray and smooth, often colonized by white lichen and moss.",Description,,Alnus,rubra,,5
8679,"The leaves are ovate, 7 to 15 centimetres (2+3⁄4 to 6 in) long, with bluntly serrated edges and a distinct point at the end; the leaf margin is revolute, the very edge being curled under, a diagnostic character which distinguishes it from all other alders.",Description,,Alnus,rubra,,5
8680,The leaves turn yellow in the autumn before falling.,Description,,Alnus,rubra,,5
8681,The male flowers are dangling reddish catkins 10 to 15 cm (4 to 6 in) long in early spring.,Description,,Alnus,rubra,,5
8682,Female flowers occur in clusters of (3) 4–6 (8).,Description,,Alnus,rubra,,5
8683,"Female catkins are erect during anthesis, but otherwise pendant.",Description,,Alnus,rubra,,5
8684,"They develop into small, woody, superficially cone-like oval dry fruit 2 to 3 cm (3⁄4 to 1+1⁄4 in) long.",Description,,Alnus,rubra,,5
8685,The seeds develop between the woody bracts of the 'cones' and are shed in late autumn and winter.,Description,,Alnus,rubra,,5
8686,Red alder seeds have a membranous winged margin that allows long-distance dispersal.,Description,,Alnus,rubra,,5
8687,Specimens can live to about 60 years of age before being seriously afflicted by heart rot.,Description,,Alnus,rubra,,5
8688,"Red buckeye has hybridized with common horse-chestnut (Aesculus hippocastanum) in cultivation, the hybrid being named Aesculus × carnea, red horse-chestnut.",Hybrids,,Aesculus,pavia,,9
8689,"The hybrid is a medium-sized tree to 13.5–17 m (45–55 ft) tall, intermediate between the parent species in most respects, but inheriting the red flower color from A. pavia.",Hybrids,,Aesculus,pavia,,9
8690,"It is a popular tree in large gardens and parks, most commonly the selected cultivar 'Briotii'.",Hybrids,,Aesculus,pavia,,9
8691,"Hybrids of red buckeye with yellow buckeye (A. flava) have also been found, and named Aesculus × hybrida.",Hybrids,,Aesculus,pavia,,9
8692,Red maple and black gum trees are often found in the canopy along with Atlantic white cedar throughout its range.,Ecology,,Chamaecyparis,thyoides,,6
8693,Sphagnum mosses also often grow in these wetlands.  ,Ecology,,Chamaecyparis,thyoides,,6
8694,"The caterpillar of the Hessel's Hairstreak butterfly feed exclusively on C. thyoides, where its green color helps it to be camouflaged.",Ecology,,Chamaecyparis,thyoides,,6
8695,"The trees themselves grow on hummocks, small mounds, with water pooling in the depressions surrounding them.  ",Ecology,,Chamaecyparis,thyoides,,6
8696,This keeps the tree from being underwater year-round and helps to protect from floods.,Ecology,,Chamaecyparis,thyoides,,6
8697,"The tree benefits from periodic low-intensity fires which expose seedlings to sunlight and limit competition with other canopy flora, particularly Red Maple.",Ecology,,Chamaecyparis,thyoides,,6
8698,Too frequent or intense fires or flooding are damaging to seedlings stored in the top layer of soil and full-grown trees.,Ecology,,Chamaecyparis,thyoides,,6
8699,"Red maple's maximum lifespan is 150 years, but most live less than 100 years.",Ecology,,Acer,rubrum,,6
8700,"The tree's thin bark is easily damaged from ice and storms, animals, and when used in landscaping, being struck by flying debris from lawn mowers, allowing fungi to penetrate and cause heart rot.",Ecology,,Acer,rubrum,,6
8701,Its ability to thrive in a large number of habitats is largely due to its ability to produce roots to suit its site from a young age.,Ecology,,Acer,rubrum,,6
8702,"In wet locations, red maple seedlings produce short taproots with long, well-developed lateral roots; while on dry sites, they develop long taproots with significantly shorter laterals.",Ecology,,Acer,rubrum,,6
8703,"The roots are primarily horizontal, however, forming in the upper 25 cm (9.8 in) of the ground.",Ecology,,Acer,rubrum,,6
8704,Mature trees have woody roots up to 25 m (82 ft) long.,Ecology,,Acer,rubrum,,6
8705,"They are very tolerant of flooding, with one study showing that 60 days of flooding caused no leaf damage.",Ecology,,Acer,rubrum,,6
8706,"At the same time, they are tolerant of drought due to their ability to stop growing under dry conditions by then producing a second-growth flush when conditions later improve, even if growth has stopped for 2 weeks.",Ecology,,Acer,rubrum,,6
8707,"

",Ecology,,Acer,rubrum,,6
8708,A. rubrum is one of the first plants to flower in spring.,Ecology,,Acer,rubrum,,6
8709,A crop of seeds is generally produced every year with a bumper crop often occurring every second year.,Ecology,,Acer,rubrum,,6
8710,"A single tree between 5 and 20 cm (2.0 and 7.9 in) in diameter can produce between 12,000 and 91,000 seeds in a season.",Ecology,,Acer,rubrum,,6
8711,A tree 30 cm (0.98 ft) in diameter was shown to produce nearly a million seeds.,Ecology,,Acer,rubrum,,6
8712,Red maple produces one of the smallest seeds of any of the maples.,Ecology,,Acer,rubrum,,6
8713,"Fertilization has also been shown to significantly increase the seed yield for up to two years after application.
",Ecology,,Acer,rubrum,,6
8714,"The seeds are epigeal and tend to germinate in early summer soon after they are released, assuming a small amount of light, moisture, and sufficient temperatures are present.",Ecology,,Acer,rubrum,,6
8715,"If the seeds are densely shaded, then germination commonly does not occur until the next spring.",Ecology,,Acer,rubrum,,6
8716,Most seedlings do not survive in closed forest canopy situations.,Ecology,,Acer,rubrum,,6
8717,"However, one- to four-year-old seedlings are common under dense canopy.",Ecology,,Acer,rubrum,,6
8718,"Though they eventually die if no light reaches them, they serve as a reservoir, waiting to fill any open area of the canopy above.
",Ecology,,Acer,rubrum,,6
8719,"Trees growing in a Zone 9 or 10 area such as Florida will usually die from cold damage if transferred up north, for instance to Canada, Maine, Vermont, New Hampshire and New York, even if the southern trees were planted with northern red maples.",Ecology,,Acer,rubrum,,6
8720,"Due to their wide range, genetically the trees have adapted to the climatic differences.

",Ecology,,Acer,rubrum,,6
8721,"Red maple is able to increase its numbers significantly when associate trees are damaged by disease, cutting, or fire.",Ecology,,Acer,rubrum,,6
8722,One study found that 6 years after clearcutting a 3.4 hectares (8.4 acres),Ecology,,Acer,rubrum,,6
8723,"Oak-Hickory forest containing no red maples, the plot contained more than 2,200 red maple seedlings per hectare (900 per acre) taller than 1.4 m (4.6 ft).",Ecology,,Acer,rubrum,,6
8724,"One of its associates, the black cherry (Prunus serotina), contains benzoic acid, which has been shown to be a potential allelopathic inhibitor of red maple growth.",Ecology,,Acer,rubrum,,6
8725,Red maple is one of the first species to start stem elongation.,Ecology,,Acer,rubrum,,6
8726,"In one study, stem elongation was one-half completed in 1 week, after which growth slowed and was 90% completed within only 54 days.",Ecology,,Acer,rubrum,,6
8727,"In good light and moisture conditions, the seedlings can grow 30 cm (0.98 ft) in their first year and up to 60 cm (2.0 ft) each year for the next few years, making it a fast grower.

",Ecology,,Acer,rubrum,,6
8728,The red maple is used as a food source by several forms of wildlife.,Ecology,,Acer,rubrum,,6
8729,Elk and white-tailed deer in particular use the current season's growth of red maple as an important source of winter food.,Ecology,,Acer,rubrum,,6
8730,"Several Lepidoptera (butterflies and moths) utilize the leaves as food, including larvae of the rosy maple moth (Dryocampa rubicunda); see List of Lepidoptera that feed on maples.
",Ecology,,Acer,rubrum,,6
8731,"Due to A. rubrum's very wide range, there is significant variation in hardiness, size, form, time of flushing, onset of dormancy, and other traits.",Ecology,,Acer,rubrum,,6
8732,"Generally speaking, individuals from the north flush the earliest, have the most reddish fall color, set their buds the earliest and take the least winter injury.",Ecology,,Acer,rubrum,,6
8733,Seedlings are tallest in the north-central and east-central part of the range.,Ecology,,Acer,rubrum,,6
8734,"In Florida, at the extreme south of the red maple's range, it is limited exclusively to swamplands.",Ecology,,Acer,rubrum,,6
8735,"The fruits also vary geographically with northern individuals in areas with brief, frost-free periods producing fruits that are shorter and heavier than their southern counterparts.",Ecology,,Acer,rubrum,,6
8736,"As a result of such variation, there is much genetic potential for breeding programs with a goal of producing red maples for cultivation.",Ecology,,Acer,rubrum,,6
8737,"This is especially useful for making urban cultivars that require resistance from verticillium wilt, air pollution, and drought.

",Ecology,,Acer,rubrum,,6
8738,"Red maple frequently hybridizes with silver maple; the hybrid, known as Freeman's maple, Acer × freemanii, is intermediate between the parents.",Ecology,,Acer,rubrum,,6
8739,"Red maple's rapid growth, ease of transplanting, attractive form, and value for wildlife (in the eastern US) has made it one of the most extensively planted trees.",Cultivation,,Acer,rubrum,,4
8740,"In parts of the Pacific Northwest, it is one of the most common introduced trees.",Cultivation,,Acer,rubrum,,4
8741,"Its popularity in cultivation stems from its vigorous habit, its attractive and early red flowers, and most importantly, its flaming red fall foliage.",Cultivation,,Acer,rubrum,,4
8742,The tree was introduced into the United Kingdom in 1656 and shortly thereafter entered cultivation.,Cultivation,,Acer,rubrum,,4
8743,There it is frequently found in many parks and yards.,Cultivation,,Acer,rubrum,,4
8744,Red maple is a good choice of a tree for urban areas when there is ample room for its root system.,Cultivation,,Acer,rubrum,,4
8745,Forming an association with Arbuscular Mycorrhizal Fungi can help A. rubrum grow along city streets.,Cultivation,,Acer,rubrum,,4
8746,"It is more tolerant of pollution and road salt than sugar maples, although the tree's fall foliage is not as vibrant in this environment.",Cultivation,,Acer,rubrum,,4
8747,"Like several other maples, its low root system can be invasive and it makes a poor choice for plantings near paving.",Cultivation,,Acer,rubrum,,4
8748,"It attracts squirrels, who eat its buds in the early spring, although squirrels prefer the larger buds of the silver maple.",Cultivation,,Acer,rubrum,,4
8749,"Red maples make vibrant and colorful bonsai, and have year around attractive features for display.",Cultivation,,Acer,rubrum,,4
8750,"Red mulberry is a small to medium-sized deciduous tree, growing to 10–15 metres (35–50 feet) tall, rarely 21 m (70 ft), with a trunk up to 50 centimetres (20 inches) in diameter.",Description,,Morus,rubra,,5
8751,It can live up to 125 years.,Description,,Morus,rubra,,5
8752,"The leaves are alternate, 7–18 cm (2+3⁄4–7 in) long (rarely to 36 cm or 14+1⁄4 in) and 8–12 cm (3+1⁄4–4+3⁄4 in) broad (about twice as big as the white mulberry's leaves), simple, broadly cordate, with a shallow notch at the base, typically unlobed on mature trees although often with 2–3 lobes, particularly on young trees, and with a finely serrated margin.",Description,,Morus,rubra,,5
