text,category,plant,genus,species,plant_group,category_int
"Quercus turbinella is a North American species of oak known by the common names shrub oak, turbinella oak, shrub live oak, and gray oak. It is native to Arizona,  California, New Mexico, Utah, Colorado, and Nevada in the western United States. It also occurs in northern Mexico.

",Summary,,Quercus,turbinella,,17
"Quercus turbinella is a shrub growing 2–5 metres (6+1⁄2–16+1⁄2 feet) in height but sometimes becoming treelike and exceeding 6 m (20 ft). The branches are gray or brown, the twigs often coated in short woolly fibers when young and becoming scaly with age. The thick, leathery evergreen leaves are up to 3 centimetres (1+1⁄4 inches) long by 2 cm (3⁄4 in) wide  and are edged with large, spine-tipped teeth. They are gray-green to yellowish in color and waxy in texture on the upper surfaces, and yellowish and hairy or woolly and glandular on the lower surfaces. The males catkins are yellowish-green and the female flowers are in short spikes in the leaf axils, appearing at the same time as the new growth of leaves. The fruit is a yellowish brown acorn up to two centimeters long with a shallow warty cup about a centimeter wide. This oak reproduces sexually via its acorns if there is enough moisture present, but more often it reproduces vegetatively by sprouting from its rhizome and root crown.",Description,,Quercus,turbinella,,5
"Quercus velutina, the black oak, is a species of oak in the red oak group (Quercus sect. Lobatae), native and widespread in eastern and central North America. It is sometimes called the eastern black oak.Quercus velutina was previously known as yellow oak due to the yellow pigment in its inner bark. It is a close relative of the California black oak (Quercus kelloggii) found in western North America.",Summary,,Quercus,velutina,,17
"Quercus virginiana, also known as the southern live oak, is an evergreen oak tree endemic to the Southeastern United States. Though many other species are loosely called live oak, the southern live oak is particularly iconic of the Old South. Many very large and old specimens of live oak can be found today in the Deep South region of the United States.",Summary,,Quercus,virginiana,,17
"Ranging from 1.5 to as much as 8 meters in height, it can take the form of a shrub or small tree. The linear, curved, deciduous leaves are 10 to 26 cm long and just a few millimeters wide.

The generic name is derived from the Greek words χεῖλος, (cheilos), meaning ""lip,"" and ὄψις (opsis), meaning ""resembling,"" referring to the flowers. They occur in a terminal panicle or raceme, blooming in May through September. About two to four flowers at a time are open in each inflorescence. The calyx is about 8–14 mm, slightly inflated, and varying shades of purple, while the corolla is 2–5 cm, and with colors ranging from lavender to light pink. The throat and lower lip has a pattern of yellow ridges and purple lines, and the margins are crinkled. It is pollinated primarily by large bees in the family Apidae, such as carpenter bees, bumblebees, Anthophora, and Centris. The fruit is a linear pod up to 35 cm long, containing numerous winged seeds.
There are two subspecies:

Chilopsis linearis subsp. linearis. Utah, Arizona, New Mexico, western Texas, Mexico.
Chilopsis linearis subsp. arcuata. Nevada, California, Baja California.",Description,,Chilopsis,,,5
"Rare in the South, it is more common in the northern United States. In the United States, it occurs in Alabama, Arkansas, Connecticut, Delaware, the District of Columbia, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin and West Virginia; the species also occurs in Ontario and Quebec in Canada. The species is listed as Endangered in Florida, Maryland, and New Hampshire; and as Special Concern in Tennessee.Butterflies that use Zanthoxylum americanum as a larval food source include the Thoas swallowtail (Papilio thoas), giant swallowtail (P. cresphontes), and spicebush swallowtail (P. troilus).This plant was known to the indigenous peoples of the region. It was first described to Europeans by John Bartram in his travels and plant collecting excursions.",Native Range,,Zanthoxylum,americanum,,11
"Rarely exceeding 20 m in height, the tree has a rounded crown with spreading to pendulous branches. The glabrous young shoots become progressively corky-winged with age, and bear oblong to obovate leaves <8 cm long. The wind-pollinated apetalous perfect flowers form pendulous racemes which open in September and serve to distinguish the species from its compatriot, the cedar elm U. crassifolia, with which it readily hybridizes. The samarae are oblong-elliptical, 10–15 mm in length, deeply divided at the apex, and ripen in November [2]
[3].",Description,,Ulmus,serotina,,5
"Red alder is associated with coast Douglas-fir (Pseudotsuga menziesii subsp. menziesii), western hemlock (Tsuga heterophylla), grand fir (Abies grandis), western redcedar (Thuja plicata), and Sitka spruce (Picea sitchensis) forests.
Along stream banks, it is commonly associated with willows (Salix spp.), red osier dogwood (Cornus stolonifera), Oregon ash (Fraxinus latifolia), and bigleaf maple (Acer macrophyllum).
To the southeast of its range it is replaced by white alder (Alnus rhombifolia), which is a tree of similar stature, but which differs in the leaf margins not being rolled under, lack of distinct lobes, and lack of membranous wings on seed margins. In the high mountains it is replaced by the smaller and more shrub-like Sitka alder (Alnus viridis subsp. sinuata), and east of the Cascade Mountains by thinleaf alder (Alnus incana subsp. tenuifolia).",Associated Forest Cover,,Alnus,rubra,,1
"Red alder is the largest species of alder in North America and one of the largest in the world, reaching heights of 20 to 30 metres (66 to 98 ft). The official tallest red alder (as of 1979) stands 32 m (105 ft) tall in Clatsop County, Oregon (US). The trunks range from 25 to 50 centimetres (10 to 19+1⁄2 in) in diameter. The bark is mottled, ashy-gray and smooth, often colonized by white lichen and moss. The leaves are ovate, 7 to 15 centimetres (2+3⁄4 to 6 in) long, with bluntly serrated edges and a distinct point at the end; the leaf margin is revolute, the very edge being curled under, a diagnostic character which distinguishes it from all other alders. The leaves turn yellow in the autumn before falling. The male flowers are dangling reddish catkins 10 to 15 cm (4 to 6 in) long in early spring. Female flowers occur in clusters of (3) 4–6 (8). Female catkins are erect during anthesis, but otherwise pendant. They develop into small, woody, superficially cone-like oval dry fruit 2 to 3 cm (3⁄4 to 1+1⁄4 in) long. The seeds develop between the woody bracts of the 'cones' and are shed in late autumn and winter. Red alder seeds have a membranous winged margin that allows long-distance dispersal.Specimens can live to about 60 years of age before being seriously afflicted by heart rot.",Description,,Alnus,rubra,,5
"Red buckeye has hybridized with common horse-chestnut (Aesculus hippocastanum) in cultivation, the hybrid being named Aesculus × carnea, red horse-chestnut. The hybrid is a medium-sized tree to 13.5–17 m (45–55 ft) tall, intermediate between the parent species in most respects, but inheriting the red flower color from A. pavia. It is a popular tree in large gardens and parks, most commonly the selected cultivar 'Briotii'. Hybrids of red buckeye with yellow buckeye (A. flava) have also been found, and named Aesculus × hybrida.",Hybrids,,Aesculus,pavia,,9
"Red maple and black gum trees are often found in the canopy along with Atlantic white cedar throughout its range. Sphagnum mosses also often grow in these wetlands.  The caterpillar of the Hessel's Hairstreak butterfly feed exclusively on C. thyoides, where its green color helps it to be camouflaged.The trees themselves grow on hummocks, small mounds, with water pooling in the depressions surrounding them.  This keeps the tree from being underwater year-round and helps to protect from floods. The tree benefits from periodic low-intensity fires which expose seedlings to sunlight and limit competition with other canopy flora, particularly Red Maple. Too frequent or intense fires or flooding are damaging to seedlings stored in the top layer of soil and full-grown trees.",Ecology,,Chamaecyparis,thyoides,,6
"Red maple's maximum lifespan is 150 years, but most live less than 100 years. The tree's thin bark is easily damaged from ice and storms, animals, and when used in landscaping, being struck by flying debris from lawn mowers, allowing fungi to penetrate and cause heart rot. Its ability to thrive in a large number of habitats is largely due to its ability to produce roots to suit its site from a young age. In wet locations, red maple seedlings produce short taproots with long, well-developed lateral roots; while on dry sites, they develop long taproots with significantly shorter laterals. The roots are primarily horizontal, however, forming in the upper 25 cm (9.8 in) of the ground. Mature trees have woody roots up to 25 m (82 ft) long. They are very tolerant of flooding, with one study showing that 60 days of flooding caused no leaf damage. At the same time, they are tolerant of drought due to their ability to stop growing under dry conditions by then producing a second-growth flush when conditions later improve, even if growth has stopped for 2 weeks.

A. rubrum is one of the first plants to flower in spring. A crop of seeds is generally produced every year with a bumper crop often occurring every second year. A single tree between 5 and 20 cm (2.0 and 7.9 in) in diameter can produce between 12,000 and 91,000 seeds in a season. A tree 30 cm (0.98 ft) in diameter was shown to produce nearly a million seeds. Red maple produces one of the smallest seeds of any of the maples. Fertilization has also been shown to significantly increase the seed yield for up to two years after application.
The seeds are epigeal and tend to germinate in early summer soon after they are released, assuming a small amount of light, moisture, and sufficient temperatures are present. If the seeds are densely shaded, then germination commonly does not occur until the next spring. Most seedlings do not survive in closed forest canopy situations. However, one- to four-year-old seedlings are common under dense canopy. Though they eventually die if no light reaches them, they serve as a reservoir, waiting to fill any open area of the canopy above.
Trees growing in a Zone 9 or 10 area such as Florida will usually die from cold damage if transferred up north, for instance to Canada, Maine, Vermont, New Hampshire and New York, even if the southern trees were planted with northern red maples. Due to their wide range, genetically the trees have adapted to the climatic differences.

Red maple is able to increase its numbers significantly when associate trees are damaged by disease, cutting, or fire. One study found that 6 years after clearcutting a 3.4 hectares (8.4 acres) Oak-Hickory forest containing no red maples, the plot contained more than 2,200 red maple seedlings per hectare (900 per acre) taller than 1.4 m (4.6 ft). One of its associates, the black cherry (Prunus serotina), contains benzoic acid, which has been shown to be a potential allelopathic inhibitor of red maple growth. Red maple is one of the first species to start stem elongation. In one study, stem elongation was one-half completed in 1 week, after which growth slowed and was 90% completed within only 54 days. In good light and moisture conditions, the seedlings can grow 30 cm (0.98 ft) in their first year and up to 60 cm (2.0 ft) each year for the next few years, making it a fast grower.

The red maple is used as a food source by several forms of wildlife. Elk and white-tailed deer in particular use the current season's growth of red maple as an important source of winter food. Several Lepidoptera (butterflies and moths) utilize the leaves as food, including larvae of the rosy maple moth (Dryocampa rubicunda); see List of Lepidoptera that feed on maples.
Due to A. rubrum's very wide range, there is significant variation in hardiness, size, form, time of flushing, onset of dormancy, and other traits. Generally speaking, individuals from the north flush the earliest, have the most reddish fall color, set their buds the earliest and take the least winter injury. Seedlings are tallest in the north-central and east-central part of the range. In Florida, at the extreme south of the red maple's range, it is limited exclusively to swamplands. The fruits also vary geographically with northern individuals in areas with brief, frost-free periods producing fruits that are shorter and heavier than their southern counterparts. As a result of such variation, there is much genetic potential for breeding programs with a goal of producing red maples for cultivation. This is especially useful for making urban cultivars that require resistance from verticillium wilt, air pollution, and drought.

Red maple frequently hybridizes with silver maple; the hybrid, known as Freeman's maple, Acer × freemanii, is intermediate between the parents.",Ecology,,Acer,rubrum,,6
"Red maple's rapid growth, ease of transplanting, attractive form, and value for wildlife (in the eastern US) has made it one of the most extensively planted trees. In parts of the Pacific Northwest, it is one of the most common introduced trees. Its popularity in cultivation stems from its vigorous habit, its attractive and early red flowers, and most importantly, its flaming red fall foliage. The tree was introduced into the United Kingdom in 1656 and shortly thereafter entered cultivation. There it is frequently found in many parks and yards.Red maple is a good choice of a tree for urban areas when there is ample room for its root system. Forming an association with Arbuscular Mycorrhizal Fungi can help A. rubrum grow along city streets. It is more tolerant of pollution and road salt than sugar maples, although the tree's fall foliage is not as vibrant in this environment. Like several other maples, its low root system can be invasive and it makes a poor choice for plantings near paving. It attracts squirrels, who eat its buds in the early spring, although squirrels prefer the larger buds of the silver maple.Red maples make vibrant and colorful bonsai, and have year around attractive features for display.",Cultivation,,Acer,rubrum,,4
"Red mulberry is a small to medium-sized deciduous tree, growing to 10–15 metres (35–50 feet) tall, rarely 21 m (70 ft), with a trunk up to 50 centimetres (20 inches) in diameter. It can live up to 125 years.The leaves are alternate, 7–18 cm (2+3⁄4–7 in) long (rarely to 36 cm or 14+1⁄4 in) and 8–12 cm (3+1⁄4–4+3⁄4 in) broad (about twice as big as the white mulberry's leaves), simple, broadly cordate, with a shallow notch at the base, typically unlobed on mature trees although often with 2–3 lobes, particularly on young trees, and with a finely serrated margin. Unlike the leaves of white mulberry (M. alba) which have a lustrous upper surface, the red mulberry leaf upper surface is noticeably rough, similar in texture to fine sandpaper, and the underside is densely covered with soft hairs. The leaf petiole exudes milky sap when severed. The leaves turn yellow in autumn.
The flowers are relatively inconspicuous: small, yellowish green or reddish green and opening as leaves emerge.  Male and female flowers are usually on separate trees although they may occur on the same tree.
The fruit is a compound cluster of several small achenes surrounded by a fleshy calyx, similar in appearance to a blackberry, 2–3 cm (3⁄4–1+1⁄4 in) long. It is initially pale green, ripening to red or dark purple.",Description,,Morus,rubra,,5
"Red mulberry is hardy to subzero temperatures, relatively hardy to drought, pollution, and poor soil, though the white mulberry is hardier.The berries are widely sought after by birds in spring and early summer in North America; as many as 31 species of birds have been recorded visiting a fruiting tree in Arkansas.",Ecology,,Morus,rubra,,6
Red oak is not listed in the CITES Appendices or on the IUCN Red List of Threatened Species.,Conservation,,Quercus,coccinea,,3
"Red pine is a coniferous evergreen tree characterized by tall, straight growth. It usually ranges from 20–35 metres (66–115 feet) in height and 1 m (3 ft 3 in) in trunk diameter, exceptionally reaching 43.77 m (143+1⁄2 ft) tall. The crown is conical, becoming a narrow rounded dome with age. The bark is thick and gray-brown at the base of the tree, but thin, flaky and bright orange-red in the upper crown; the tree's name derives from this distinctive character. Some red color may be seen in the fissures of the bark. The species is self pruning; there tend not to be dead branches on the trees, and older trees may have very long lengths of branchless trunk below the canopy.The leaves are needle-like, dark yellow-green, in fascicles of two, 12–18 centimetres (4+3⁄4–7 inches) long, and brittle. The leaves snap cleanly when bent; this character, stated as diagnostic for red pine in some texts, is however shared by several other pine species. The cones are symmetrical ovoid, 4–6 cm (1+1⁄2–2+1⁄4 in) long by 2.5 cm (1 in) broad, and purple before maturity, ripening to nut-blue and opening to 4–5 cm (1+1⁄2–2 in) broad, the scales without a prickle and almost stalkless.",Description,,Pinus,resinosa,,5
"Red spruce grows at a slow to moderate rate, lives for 250 to 450+ years, and is very shade-tolerant when young. It is often found in pure stands or forests mixed with eastern white pine, balsam fir, or black spruce. Along with Fraser fir, red spruce is one of two primary tree types in the southern Appalachian spruce-fir forest, a distinct ecosystem found only in the highest elevations of the Southern Appalachian Mountains.  Its habitat is moist but well-drained sandy loam, often at high altitudes. Red spruce can be easily damaged by windthrow and acid rain.
Notable red spruce forests can be seen at Gaudineer Scenic Area, a virgin red spruce forest located in West Virginia, the Canaan Valley, Roaring Plains West Wilderness, Dolly Sods Wilderness, Spruce Mountain and Spruce Knob all also in West Virginia and all sites of former extensive red spruce forest. Some areas of this forest, particularly in Roaring Plains West Wilderness, Dolly Sods Wilderness as well as areas of Spruce Mountain are making a rather substantial recovery.",Habitat,,Picea,rubens,,8
"Red spruce is a perennial, shade-tolerant, late successional coniferous tree that under optimal conditions grows to 18–40 m (59–131 ft) tall with a trunk diameter of about 60 cm (24 in), though exceptional specimens can reach 46 m (151 ft) tall and 100 cm (39 inches) in diameter. It has a narrow conical crown. The leaves are needle-like, yellow-green, 12–15 mm (15⁄32–19⁄32 in) long, four-sided, curved, with a sharp point, and extend from all sides of the twig. The bark is gray-brown on the surface and red-brown on the inside, thin, and scaly. The wood is light, soft, has narrow rings, and has a slight red tinge. The cones are cylindrical, 3–5 cm (1+1⁄4–2 in) long, with a glossy red-brown color and stiff scales. The cones hang down from branches.",Description,,Picea,rubens,,5
"Red spruce is used for Christmas trees and is an important wood used in making paper pulp. It is also an excellent tonewood, and is used in many higher-end acoustic guitars and violins, as well as musical soundboard. The sap can be used to make spruce gum. Leafy red spruce twigs are boiled with sugar and flavoring to make spruce beer. Also it can be made into spruce pudding. It can also be used as construction lumber and is good for millwork and for crates.Red spruce is the provincial tree of Nova Scotia.",Special Uses,,Picea,rubens,,16
Resin from the trunk was used as an incense by the early Spanish mission.,Special Uses,,Abies,bracteata,,16
"Rhus copallinum  (Rhus copallina is also used but, this is not consistent with the rules of the  International Association for Plant Taxonomy), the winged sumac, shining sumac, dwarf sumac or flameleaf sumac, is a species of flowering plant in the cashew family (Anacardiaceae) that is native to eastern North America. It is a deciduous tree growing to 3.5–5.5 metres (11–18 ft) tall and an equal spread with a rounded crown.  A 5-year-old sapling will stand about 2.5 metres (8.2 ft).",Summary,,Rhus,copallinum,,17
"Rhus lanceolata, the prairie sumac, is a species of plant native to the south-western United States (Texas, Oklahoma, Arizona, New Mexico), and northern Mexico (Coahuila, Nuevo León and Tamaulipas).Rhus lanceolata is a shrub or small tree up to 9 m (30 feet) tall, reproducing by means of underground rhizomes. Leaves are pinnately compound with 13-17 lanceolate leaflets and a winged rachis. Leaflets are entire (untoothed) or with small teeth, green and shiny above but whitish and pubescent below. Flowers are born in a panicle up to 14 cm (5.6 inches) tall. Flowers are white to greenish. Fruits are lens-shaped, about 6 mm (0.25 inches) across, dark red and hairy.",Summary,,Rhus,lanceolata,,17
"Rhus microphylla, the littleleaf sumac, desert sumac, correosa, or agritos, is a species of sumac in the family Anacardiaceae, native to North America, in the southwestern United States and northern and central Mexico, from central and western Texas, southern New Mexico, central and northern regions of the Mexican Altiplano-(Mexican Plateau), and extreme southeastern Arizona of the Madrean Sky Islands.

",Summary,,Rhus,microphylla,,17
"Rhus virens is a species of flowering plant in the mango family, Anacardiaceae, that is native to Arizona, southern New Mexico, and Texas in the United States as well as northern and central Mexico as far south as Oaxaca.
It is commonly known as the evergreen sumac or tobacco sumac.

",Summary,,Rhus,virens,,17
"Rhus virens var. choriophylla (Wooton & Standl.) L.D.Benson – Mearns' sumac
Rhus virens var. virens",Hybrids,,Rhus,virens,,9
"Robinia neomexicana grows to 5–10 m tall (rarely to 15 m) with bristly shoots. The leaves are 10–15 cm long, pinnate with 7–15 leaflets; they have a pair of sharp, reddish-brown thorns at the base. The flowers are showy and white or pink, and considered fragrant.  Blooms are produced in spring or early summer in dense racemes 5–10 cm long that hang from the branches near the ends.  The fruits are brown bean-like pods with bristles like those on the shoots.",Description,,Robinia,neomexicana,,5
"Robinia neomexicana is native to the Southwestern United States (southeastern California and southwestern Utah, Virgin River region, east through Arizona and New Mexico, the Rio Grande valley, to far west Texas) and adjoining northern Mexico; from central New Mexico the range extends north into Colorado, mostly the eastern foothills of the Rocky Mountains. In Arizona, it ranges across the Arizona transition zone, the Mogollon Rim and White Mountains, and into western and southwestern New Mexico.In California, it is uncommon below 1500 m (5000 ft) in canyons in the Mojave Desert and its sky island pinyon-juniper habitats (Pinus monophylla and Juniperus californica). Farther east, it is typically found between 1200 and 2600 meters (4000 and 8500 feet) along streams, in the bottoms of valleys, and on the sides of canyons.",Native Range,,Robinia,neomexicana,,11
"Robinia neomexicana, the New Mexican, New Mexico, Southwest, desert, pink, or rose locust, is a shrub or small tree in the subfamily Faboideae of the family Fabaceae.

",Summary,,Robinia,neomexicana,,17
"Robinia pseudoacacia, commonly known in its native territory as black locust, is a medium-sized hardwood deciduous tree, belonging to the tribe Robinieae of the legume family Fabaceae. It is endemic to a few small areas of the United States, but it has been widely planted and naturalized elsewhere in temperate North America, Europe, Southern Africa and Asia and is considered an invasive species in some areas. Another common name is false acacia, a literal translation of the specific name (pseudo [Greek ψευδο-] meaning fake or false and acacia referring to the genus of plants with the same name).",Summary,,Robinia,pseudoacacia,,17
"Robinia viscosa, commonly known in its native territory as clammy locust, is a medium-sized deciduous tree native to the southeastern United States.

",Summary,,Robinia,viscosa,,17
"Rocky Mountain Douglas-fir grows more slowly than coast Douglas-fir and is also much more cold tolerant. Tolerance of different environmental conditions varies among populations of Rocky Mountain Douglas-fir, especially among populations from the northern and southern Rockies.  However, even nearby populations can differ in cold hardiness.Root morphology is variable, but when unimpeded, a taproot forms within several years. ""Platelike"" root morphologies occur where growth is impeded. The most prominent lateral roots begin in the 1st or 2nd year of growth. Most roots in surface soil are ""long ropelike laterals of secondary and tertiary origin"". Fine-root production is episodic in response to changing environmental conditions; the average lifespan of fine roots is usually between several days and several weeks.
Rocky Mountain Douglas-fir reaches reproductive maturity at 12–15 years. It has winged seeds that are dispersed primarily by wind and gravity. In western Montana clearcuts, seeds were dispersed up to 250 m (820 ft) uphill from their source, but seedfall between 180–250 m (590–820 ft) was only 7% of that found in uncut stands. Other studies determined that seedfall in clearcuts beyond 80 m (260 ft) from seed trees was about 3% of seedfall in uncut stands where seed trees are close together. Well-stocked stands have resulted from seedfall from sources 1–2 km (0.62–1.24 mi) distant, but most Douglas-fir seeds fall within 100 m (330 ft) of their source. Small amounts of seed are dispersed by mice, chipmunks, and squirrels. Rocky Mountain Douglas-fir seeds are disseminated about twice as far as seeds of ponderosa pine.",Sapling and Pole Stages to Maturity,,Pseudotsuga,menziesii var. glauca,,14
"Rocky Mountain Douglas-fir grows on a variety of sites across its wide geographic range. It grows at lower elevations adjacent to and within bunchgrass communities and is also found in upper-elevation subalpine forests. It tends to be most abundant in low- and middle-elevation forests, where it grows over a wide range of aspects, slopes, landforms, and soils.

In spring and winter (in British Columbia, Idaho, and Montana) elk browse on south- and southwest-facing Rocky Mountain Douglas-fir and ponderosa pine stands, particularly when shrubs and/or grasses are productive. In summer, elk generally are found at higher elevations (outside the Rocky Mountain Douglas-fir and Pacific ponderosa pine zones). During fall, elk use stands of Rocky Mountain lodgepole pine, subalpine fir, western larch, or grand fir with high canopy cover.
In parts of Yellowstone National Park, elk browsing is so intensive that young Rocky Mountain Douglas-fir are stunted at 1–1.5 m (3.3–4.9 ft) in height, with live branches trailing very close to the ground, and branches on the upper two thirds of the tree dead. Low-elevation and south-facing open-structure Rocky Mountain Douglas-fir types are often important winter range for white-tailed deer and mule deer. Moose winter in low-elevation Rocky Mountain Douglas-fir types in areas where willow thickets, the preferred winter habitat, are lacking; in such areas Rocky Mountain Douglas-fir is an important moose food.
Chipmunks, mice, voles, and shrews eat large quantities of conifer seeds from the forest floor, and clipped cones are a staple and major part of storage of red squirrels. These animals store a large amount of Rocky Mountain Douglas-fir cones or seeds. American marten commonly den in hollow logs.
Numerous species of songbirds extract seeds from Douglas-fir cones or forage for seeds on the ground. The most common are the Clark's nutcracker, black-capped chickadee, mountain chickadee, boreal chickadee, red-breasted nuthatch, pygmy nuthatch, red crossbill, white-winged crossbill, dark-eyed junco, and pine siskin. Migrating flocks of dark-eyed juncos may consume vast quantities of seeds and freshly germinated seedlings. Woodpeckers commonly feed in the bark of Rocky Mountain Douglas-fir. Blue grouse forage on needles and buds in winter; they and other birds rely heavily on Rocky Mountain Douglas-fir communities for cover.
The Douglas-fir is vulnerable to infestation by a woolly aphid, Adelges cooleyi that also infects the Engelmann spruce to complete its lifecycle.",Ecology,,Pseudotsuga,menziesii var. glauca,,6
"Rocky Mountain Douglas-fir is a large tree, typically reaching 35–45 m (115–148 ft) in height and 1 m (3 ft 3 in) in diameter, with exceptional specimens known to 67 m (220 ft) tall, and 2 m (6 ft 7 in) in diameter. It commonly lives more than 500 years and occasionally more than 1,200 years. The bark on young trees is thin, smooth, gray, and covered with resin blisters. On mature trees, it is moderately thick (3–6 cm, 1+1⁄4–2+1⁄4 in), furrowed and corky though much less so than coast Douglas-fir.

The shoots are brown to gray-brown, smooth, though not as smooth as fir shoots, and finely pubescent with scattered short hairs. The buds are a distinctive narrow conic shape, 3–6 mm (1⁄8–1⁄4 in) long, with red-brown bud scales. The leaves are spirally arranged but slightly twisted at the base to be upswept above the shoot, needle-like, 2–3 cm (3⁄4–1+1⁄4 in) long, gray-green to blue-green above with a single broad stomatal patch, and with two whitish stomatal bands below.
The male (pollen) cones are 2–3 cm (3⁄4–1+1⁄4 in) long, and are typically restricted to, or more abundant on, lower branches. Pollen cones develop over 1 year and wind-dispersed pollen is released for several weeks in the spring.

The mature female seed cones are pendent, 4–7 cm (1+1⁄2–2+3⁄4 in) long, 2 cm (3⁄4 in) broad when closed, opening to 3–4 cm (1+1⁄4–1+1⁄2 in) broad. They are produced in spring, purple (sometimes green) at first, maturing orange-brown in the autumn 5–7 months later. The seeds are 5–6 mm (3⁄16–1⁄4 in) long and 3–4 mm (1⁄8–3⁄16 in) broad, with a 12–15 mm (1⁄2–9⁄16 in) wing. Both coast Douglas-fir and Rocky Mountain Douglas-fir produce abundant crops of seed approximately every 2–11 years. Seed is produced annually except for about 1 year in any 4-to-5-year period.",Description,,Pseudotsuga,menziesii var. glauca,,5
"Rocky Mountain Douglas-fir is a valuable timber tree. The wood is exceptionally strong and is used for structural timber as well as poles, plywood, pulp, dimensional lumber, railroad ties, mine timbers, log cabins, posts and poles, fencing, and firewood. Other uses listed include ""machine-stress-rated lumber"", glued-laminated (Glulam) beams, pallets, furniture, cabinets, doors, flooring, window frames, and other miscellaneous woodwork and millwork. Rocky Mountain Douglas-firs are also cut and sold as Christmas trees.",Special Uses,,Pseudotsuga,menziesii var. glauca,,16
"Roystonea is placed in the subfamily Arecoideae and the tribe Roystoneae.  The placement Roystonea within the Arecoideae is uncertain; a phylogeny based on plastid DNA failed to resolve the position of the genus within the Arecoideae.  As of 2008, there appear to be no molecular phylogenetic studies of Roystonea and the relationship between R. regia and the rest of the genus is uncertain.
The species was first described by American naturalist William Bartram in 1791 as Palma elata based on trees growing in central Florida.  In 1816 German botanist Carl Sigismund Kunth described the species Oreodoxa regia based on collections made by Alexander von Humboldt and Aimé Bonpland in Cuba.  In 1825 German botanist Curt Polycarp Joachim Sprengel moved it to the genus Oenocarpus and renamed it O. regius.The genus Oreodoxa was proposed by German botanist Carl Ludwig Willdenow in 1807 and applied by him to two species, O. acuminata (now known as Prestoea acuminata) and O.  praemorsa (now Wettinia praemorsa).  Although these species were transferred to other genera, the genus Oreodoxa continued to be applied to a variety of superficially similar species which were not, in fact, closely related.  To address this problem, American botanist Orator F. Cook created the genus Roystonea, which he named in honour of American general Roy Stone, and renamed Kunth's species Roystonea regia.

Cook considered Floridian populations to be distinct from both the Cuba R. regia and the Puerto Rican R. borinquena, and he placed them in a new species, R. floridana, which is now considered a synonym of R. regia.  In 1906 Charles Henry Wright described two new species based on collections from Georgetown, British Guiana (now Guyana) which he placed in the genus Euterpe — E. jenmanii and E. ventricosa.  Both species are now considered synonyms of R. regia.  The name R. regia var. hondurensis was applied by Paul H. Allen to Central American populations of the species.  However, Scott Zona determined that they did not differ enough from Cuban populations to be considered a separate variety.Based on the rules of botanical nomenclature, the oldest properly published name for a species has priority over newer names.  Bartram applied the Linnaean binomial Palma elata to a ""large, solitary palm with an ashen white trunk topped by a green leaf sheath [the crownshaft] and pinnate leaves"" growing in central Florida.  While no type collection is known, there are no other native palms that would fit Bartram's description.  In 1946 Francis Harper pointed out that Bartram's name was valid and proposed a new combination, Roystonea elata.  Liberty Hyde Bailey's use of the name in his 1949 revision of the genus, established its usage.Harper's new combination immediately supplanted Cook's R. floridana, but there was disagreement as to whether Cuban and Floridian populations represented a single species or two species.  Zona's revision of the genus concluded that they both belonged to the same species.  According to the rules of botanical nomenclature, the correct name of the species should have been Roystonea elata.  Zona pointed out, however, that the name R. regia (or Oreodoxa regia) has a history of use in horticulture that dated from at least 1838, and that the species had been propagated around the world under that name.  Roystonea elata, on the other hand, had only been used since 1949, and was used much less widely.  On that basis, Zona proposed that the name Roystonea regia should be conserved.",Taxonomy,,Roystonea,regia,,18
"Roystonea regia has been planted throughout the tropics and subtropics as an ornamental.  The seed is used as a source of oil and for livestock feed.  Leaves are used for thatching and the wood for construction.  The roots are used as a diuretic, and for that reason they are added to tifey, a Haitian drink, by Cubans of Haitian origin.  They are also used as a treatment for diabetes.Fibres extracted from the leaf sheath of R. regia have been found to be comparable with sisal and banana fibres, but lower in density, making it a potentially useful source for the use in lightweight composite materials.  An extract from R. regia fruit known as D-004 reduces benign prostate hyperplasia (BPH) in rodents.  D-004, is a mixture of fatty acids, is being studied as a potential alternative to finasteride for the treatment of BPH.",Special Uses,,Roystonea,regia,,16
